P3-T0E8,R/B-9 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0B6,R/B-23 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T007,MANUAL ACTION SW8- CYCLE TIME MEASUREMENT,,
P3-T093,DELAY ALARM DETECTION,,
P3-T04A,MANUAL ACTION SW59- CYCLE TIME MEASUREMENT,,
P3-T02A,MANUAL ACTION SW35- CYCLE TIME MEASUREMENT,,
P3-T054,MANUAL ACTION SW69- CYCLE TIME MEASUREMENT,,
P3-T0BC,R/B-29 FIXED QUANTITY EXCHANGE COUNTER,,
P1-T05C,SET CAR TYPE IN REGI.(IN L PALLET RECEIVED),,
P1-T059,UB PALLET CUT OFF 0.6S,,
P2-T1B3,STATION #4 CYC TIME DATA DELAY,,
P2-T0C5,4ST LIFTER DOWN END,,
P2-T1A5,STATION #6 CYC TIME DATA DELAY,,
P2-T118,2->3ST NO LUGE,,
P2-T081,8ST LUGE LOCK IN END,,
P2-T040,4ST LUGE LOCK OUT END,,
P2-T0D1,STA.6 CYCLE TIME CLOCK (TRANSFER TIME),,
P2-T0CB,STA.3 CYCLE TIME CLOCK (TRANSFER TIME),,
P3-T037,MANUAL ACTION SW48- CYCLE TIME MEASUREMENT,,
P3-T049,MANUAL ACTION SW58- CYCLE TIME MEASUREMENT,,
P3-T0E9,R/B-10 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T006,MANUAL ACTION SW7- CYCLE TIME MEASUREMENT,,
P3-T0B9,R/B-26 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T094,WAIT PCS-I/F OK,,
P3-T07D,CYCLE TIME MEASUREMENT R/B-30,,
P3-T010,MANUAL ACTION SW17- CYCLE TIME MEASUREMENT,,
P3-T055,MANUAL ACTION SW70- CYCLE TIME MEASUREMENT,,
P3-T0BB,R/B-28 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T078,CYCLE TIME MEASUREMENT R/B-25,,
P1-T0A5,PARTS SET FAULT,,
P1-T168,ALL data transfer reset,,
P1-T068,UB PALLET PIN OUT COMMAND DERLAY,,
P1-T045,FRICTION FIXED POSITION CONF. DELAY,,
P1-T01C,L6 COMMUNICATION RETRY PULSE(2S),,
P1-T012,L3 COMMUNICATION NORMAL DELAY(2S),,
P2-T1B2,STATION #3 CYC TIME DATA DELAY,,
P2-T0C4,4ST LIFTER UP END,,
P2-T035,3ST LOWER FRICTION FIXED POSITION,,
P2-T128,4->5ST NO LUGE,,
P2-T082,8ST UPPER FRICTION LOW SPEED POSITION,,
P2-T041,4ST LUGE LOCK IN END,,
P2-T064,6ST LOWER FRICTION LOW SPEED POSITION,,
P2-T055,5ST LOWER FRICTION FIXED POSITION,,
P3-T0BE,R/B-31 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T048,MANUAL ACTION SW57- CYCLE TIME MEASUREMENT,,
P3-T005,MANUAL ACTION SW6- CYCLE TIME MEASUREMENT,,
P3-T00F,MANUAL ACTION SW16- CYCLE TIME MEASUREMENT,,
P3-T0B8,R/B-25 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T07E,CYCLE TIME MEASUREMENT R/B-31,,
P3-T0C0,DURING THE TIP EXCHANGE TIME,,
P3-T065,CYCLE TIME MEASUREMENT R/B-6,,
P3-T011,MANUAL ACTION SW18- CYCLE TIME MEASUREMENT,,
P3-T02C,MANUAL ACTION SW37- CYCLE TIME MEASUREMENT,,
P3-T034,MANUAL ACTION SW45- CYCLE TIME MEASUREMENT,,
P3-T056,MANUAL ACTION SW71- CYCLE TIME MEASUREMENT,,
P3-T089,POPUP CLOSE DELAY,,
P3-T079,CYCLE TIME MEASUREMENT R/B-26,,
P1-T044,PARTS SET FAULT ON UB PALLET3.0S,,
P1-T05A,CYCLE TIME OVER AUX.,,
P1-T159,5-6 St. data write delay,,
P1-T056,FORCED DRAINING TIME  1.0S,,
P2-T0C7,STA.1 CYCLE TIME (TRANSFER TIME),,
P2-T0A5,10ST LIFTER DOWN END,,
P2-T071,7ST LUGE LOCK IN END,,
P2-T083,8ST UPPER FRICTION FIXED POSITION,,
P2-T042,4ST UPPER FRICTION LOW SPEED POSITION,,
P2-T130,5->6ST NO LUGE,,
P2-T054,5ST LOWER FRICTION LOW SPEED POSITION,,
P2-T065,6ST LOWER FRICTION FIXED POSITION,,
P2-T0D3,STA.7 CYCLE TIME CLOCK (MACHINE TIME),,
P2-T1B1,STATION #2 CYC TIME DATA DELAY,,
P2-T034,3ST LOWER FRICTION LOW SPEED POSITION,,
P3-T004,MANUAL ACTION SW5- CYCLE TIME MEASUREMENT,,
P3-T00E,MANUAL ACTION SW15- CYCLE TIME MEASUREMENT,,
P3-T0F9,R/B-26 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T064,CYCLE TIME MEASUREMENT R/B-5,,
P3-T02B,MANUAL ACTION SW36- CYCLE TIME MEASUREMENT,,
P3-T088,MODEL CODE 2 SETTING OUTPUT DELAY,,
P3-T012,MANUAL ACTION SW19- CYCLE TIME MEASUREMENT,,
P3-T035,MANUAL ACTION SW46- CYCLE TIME MEASUREMENT,,
P3-T057,MANUAL ACTION SW72- CYCLE TIME MEASUREMENT,,
P3-T0BD,R/B-30 FIXED QUANTITY EXCHANGE COUNTER,,
P1-T01A,L6 COMMUNICATION NORMAL DELAY(2S),,
P1-T010,CPU　FAN 1　ALARM,,
P1-T158,5-6 St. data transfer complete,,
P1-T057,JIG START DELAY IN ST. 3.0S,,
P2-T0C6,STA.1 CYCLE TIME CLOCK (MACHINE TIME),,
P2-T0A4,10ST LIFTER UP END,,
P2-T1A8,STATION #9 CYC TIME DATA DELAY,,
P2-T070,7ST LUGE LOCK OUT END,,
P2-T062,6ST UPPER FRICTION LOW SPEED POSITION,,
P2-T043,4ST UPPER FRICTION FIXED POSITION,,
P2-T1B0,STATION #1 CYC TIME DATA DELAY,,
P2-T0D4,STA.7 CYCLE TIME CLOCK (TRANSFER TIME),,
P3-T00D,MANUAL ACTION SW14- CYCLE TIME MEASUREMENT,,
P3-T047,MANUAL ACTION SW56- CYCLE TIME MEASUREMENT,,
P3-T0F8,R/B-25 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T050,MANUAL ACTION SW65- CYCLE TIME MEASUREMENT,,
P3-T032,MANUAL ACTION SW43- CYCLE TIME MEASUREMENT,,
P3-T0FE,R/B-31 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0AA,R/B-11 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T067,CYCLE TIME MEASUREMENT R/B-8,,
P3-T013,MANUAL ACTION SW20- CYCLE TIME MEASUREMENT,,
P3-T02E,MANUAL ACTION SW39- CYCLE TIME MEASUREMENT,,
P1-T011,CPU　FAN　2　ALARM,,
P1-T054,FRICTION OVERRUN,,
P1-T1A7,ENDURANCE COUNTER(For ENDURANCE CAR TYPE SET),,
P1-T0A8,REMOTE SENSOR FAULT,,
P1-T0BF,CPU RUN DELAY(FAULT DETECT),,
P1-T046,FRICTION LOW SPEED POSITION DELAY,,
P1-T133,PALLET STORAGE MEMORY RESET FAULT,,
P1-T166,1-2 St. data transfer complete,,
P2-T0D5,STA.8 CYCLE TIME CLOCK (MACHINE TIME),,
P2-T0A3,10ST FRICTION FIXED POSITION,,
P2-T1A9,STATION #10 CYC TIME DATA DELAY,,
P2-T073,7ST UPPER FRICTION FIXED POSITION,,
P2-T063,6ST UPPER FRICTION FIXED POSITION,,
P2-T140,7->8ST NO LUGE,,
P2-T0C1,4ST LUGE LOCK IN END,,
P2-T044,4ST LOWER FRICTION LOW SPEED POSITION,,
P3-T014,MANUAL ACTION SW21- CYCLE TIME MEASUREMENT,,
P3-T0BF,R/B-32 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T051,MANUAL ACTION SW66- CYCLE TIME MEASUREMENT,,
P3-T06E,CYCLE TIME MEASUREMENT R/B-15,,
P3-T0FD,R/B-30 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T021,MANUAL ACTION SW26- CYCLE TIME MEASUREMENT,,
P3-T033,MANUAL ACTION SW44- CYCLE TIME MEASUREMENT,,
P3-T066,CYCLE TIME MEASUREMENT R/B-7,,
P3-T0E4,R/B-5 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T02D,MANUAL ACTION SW38- CYCLE TIME MEASUREMENT,,
P3-T0AB,R/B-12 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T1FF,CYCLE TIME MEASUREMENT (PROCESS),,
P3-T046,MANUAL ACTION SW55- CYCLE TIME MEASUREMENT,,
P1-T055,FORCED DRAINING　COMMAND TIME  20S,,
P1-T092,VISION COLLATION FAULT CONF.,,
P1-T0A9,LUGE CAR TYPE COLLATION FAULT,,
P1-T080,PROD.INSTR. ADVANCE COMMAND DELAY,,
P1-T1A6,ENDURANCE COUNTER,,
P1-T167,1-2 St. data write delay,,
P2-T1FF,EDC Quality/Health Tools Batch 2 Interval Time,,
P2-T0A2,10ST FRICTION LOW SPEED POSITION,,
P2-T0D6,STA.8 CYCLE TIME CLOCK (TRANSFER TIME),,
P2-T060,6ST LUGE LOCK OUT END,,
P2-T072,7ST UPPER FRICTION LOW SPEED POSITION,,
P2-T0C0,4ST LUGE LOCK OUT END,,
P2-T031,3ST LUGE LOCK IN END,,
P2-T00A,SKI BAR COUNT LOW,,
P2-T045,4ST LOWER FRICTION FIXED POSITION,,
P3-T015,MANUAL ACTION SW22- CYCLE TIME MEASUREMENT,,
P3-T061,時刻入力ﾀｸﾞの表示ﾘﾌﾚｯｼｭ,,
P3-T030,MANUAL ACTION SW41- CYCLE TIME MEASUREMENT,,
P3-T052,MANUAL ACTION SW67- CYCLE TIME MEASUREMENT,,
P3-T06D,CYCLE TIME MEASUREMENT R/B-14,,
P3-T020,MANUAL ACTION SW25- CYCLE TIME MEASUREMENT,,
P3-T0A0,R/B-1 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T045,MANUAL ACTION SW54- CYCLE TIME MEASUREMENT,,
P3-T0E5,R/B-6 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0AC,R/B-13 FIXED QUANTITY EXCHANGE COUNTER,,
P1-T164,2-3 St. Data transfer complete,,
P1-T052,START PREPARATION(2.0S),,
P1-T1A5,JIG ENDURANCE START DELAY,,
P2-T101,TAKT TIME MONITOR for EDC,,
P2-T1FE,EDC Quality/Health Tools Batch 1 Interval Time,,
P2-T0D7,STA.9 CYCLE TIME CLOCK (MACHINE TIME),,
P2-T061,6ST LUGE LOCK IN END,,
P2-T150,9->10ST NO LUGE,,
P2-T030,3ST LUGE LOCK OUT END,,
P2-T075,7ST LOWER FRICTION FIXED POSITION,,
P2-T022,2ST UPPER FRICTION LOW SPEED POSITION,,
P2-T0C3,4ST FRICTION FIXED POSITION,,
P2-T0A1,10ST LUGE LOCK IN END,,
P3-T02F,MANUAL ACTION SW40- CYCLE TIME MEASUREMENT,,
P3-T0AD,R/B-14 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T016,MANUAL ACTION SW23- CYCLE TIME MEASUREMENT,,
P3-T009,MANUAL ACTION SW10- CYCLE TIME MEASUREMENT,,
P3-T060,CYCLE TIME MEASUREMENT R/B-1,,
P3-T072,CYCLE TIME MEASUREMENT R/B-19,,
P3-T031,MANUAL ACTION SW42- CYCLE TIME MEASUREMENT,,
P3-T053,MANUAL ACTION SW68- CYCLE TIME MEASUREMENT,,
P3-T044,MANUAL ACTION SW53- CYCLE TIME MEASUREMENT,,
P3-T0F5,R/B-22 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0FF,R/B-32 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T023,MANUAL ACTION SW28- CYCLE TIME MEASUREMENT,,
P3-T0A1,R/B-2 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T0E6,R/B-7 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P1-T165,2-3 st. data write delay,,
P1-T0D1,POWER SUPLLY ABNORMALITIES,,
P1-T053,CAR TYPE SWITCHING COMMANDDELAY 0.2S,,
P1-T090,NO PALLET PRESENT IN ST.7,,
P1-T1A4,ENDURANCE COMPLETE RESET COMMAND OFF TIMER,,
P1-T048,POWER SUPPLY(REC) FAULT,,
P2-T0D8,STA.9 CYCLE TIME CLOCK (TRANSFER TIME),,
P2-T074,7ST LOWER FRICTION LOW SPEED POSITION,,
P2-T0C2,4ST FRICTION LOW SPEED POSITION,,
P2-T033,3ST UPPER FRICTION FIXED POSITION,,
P2-T0A0,10ST LUGE LOCK OUT END,,
P2-T100,AUTO SELECT CONF.<MAIN/SUB OP.>,,
P2-T023,2ST UPPER FRICTION FIXED POSITION,,
P3-T0E7,R/B-8 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0AE,R/B-15 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T017,MANUAL ACTION SW24- CYCLE TIME MEASUREMENT,,
P3-T008,MANUAL ACTION SW9- CYCLE TIME MEASUREMENT,,
P3-T0FA,R/B-27 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T073,CYCLE TIME MEASUREMENT R/B-20,,
P3-T063,CYCLE TIME MEASUREMENT R/B-4,,
P3-T043,MANUAL ACTION SW52- CYCLE TIME MEASUREMENT,,
P3-T06F,CYCLE TIME MEASUREMENT R/B-16,,
P3-T0ED,R/B-14 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0F4,R/B-21 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T022,MANUAL ACTION SW27- CYCLE TIME MEASUREMENT,,
P3-T0A2,R/B-3 FIXED QUANTITY EXCHANGE COUNTER,,
P1-T04E,CYCLE OVER DETECTION COUNT,,
P1-T0D0,CPU RUN,,
P1-T162,3-4 St. data transfer complete,,
P1-T062,L PALLET LOADING FAULT(REPAIR),,
P1-T050,ALL AUTO CONF.,,
P1-T091,VISION COLLATION FAULT COUNTER,,
P1-T1A3,PARTS SET AT ENDURANCE,,
P2-T0D9,STA. 10 CYCLE TIME CLOCK (MACHINE TIME),,
P2-T160,3->4ST NO LUGE,,
P2-T020,2ST LUGE LOCK OUT END,,
P2-T032,3ST UPPER FRICTION LOW SPEED POSITION,,
P3-T025,MANUAL ACTION SW30- CYCLE TIME MEASUREMENT,,
P3-T0A3,R/B-4 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T0AF,R/B-16 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T070,CYCLE TIME MEASUREMENT R/B-17,,
P3-T06A,CYCLE TIME MEASUREMENT R/B-11,,
P3-T083,RETURN OUTPUT EXTENSION,,
P3-T062,CYCLE TIME MEASUREMENT R/B-3,,
P3-T0E0,R/B-1 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T151,STANDBY MODE OFF DELAY,,
P3-T042,MANUAL ACTION SW51- CYCLE TIME MEASUREMENT,,
P3-T0EE,R/B-15 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0F7,R/B-24 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P1-T04D,CYCLE OVER DETECTION BASIC TIME(20S),,
P1-T153,8-9 St. data transfer complete,,
P1-T163,3-4 St. data write delay,,
P1-T061,LIFTER DOWN COMMAND OFF CONF.,,
P1-T1A2,ENDURANCE COMPLETED,,
P1-T034,LIFTER UP END DELAY,,
P2-T095,9ST LOWER FRICTION FIXED POSITION,,
P2-T120,3->4ST NO LUGE,,
P2-T021,2ST LUGE LOCK IN END,,
P2-T110,1->2ST NO LUGE,,
P3-T0A4,R/B-5 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T071,CYCLE TIME MEASUREMENT R/B-18,,
P3-T082,ADVANCE OUTPUT EXTENSION,,
P3-T150,STANDBY MODE ON DELAY,,
P3-T041,MANUAL ACTION SW50- CYCLE TIME MEASUREMENT,,
P3-T0E1,R/B-2 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0FC,R/B-29 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0B1,R/B-18 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T0EF,R/B-16 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0F6,R/B-23 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T024,MANUAL ACTION SW29- CYCLE TIME MEASUREMENT,,
P1-T021,RMT　FAN　2　ALARM,,
P1-T152,8-9 St. data write delay,,
P1-T0E0,TOYOPUC-PCS FAN 1 FAULT,,
P1-T160,4-5 st. data transfer complete,,
P1-T060,LIFTER UP COMMAND OFF CONF.,,
P1-T1A1,NO LUGE AT ENDURANCE LUGE SET OFF TIMER,,
P1-T035,LIFTER DOWN END DELAY,,
P2-T0CE,STA.5 CYCLE TIME CLOCK (MACHINE TIME),,
P2-T1A2,STATION #3 CYC TIME DATA DELAY,,
P2-T094,9ST LOWER FRICTION LOW SPEED POSITION,,
P2-T0DA,STA.10 CYCLE TIME (TRANSFER TIME),,
P3-T027,MANUAL ACTION SW32- CYCLE TIME MEASUREMENT,,
P3-T0A5,R/B-6 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T081,DELAY FOR AGING START (HOLD DOWN FOR 3 sec.),,
P3-T040,MANUAL ACTION SW49- CYCLE TIME MEASUREMENT,,
P3-T06C,CYCLE TIME MEASUREMENT R/B-13,,
P3-T0F1,R/B-18 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T0FB,R/B-28 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T1F0,COUNT PULSE,,
P3-T0E2,R/B-3 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T076,CYCLE TIME MEASUREMENT R/B-23,,
P3-T0B0,R/B-17 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T153,4 SECONDS CLOCK,,
P1-T020,RMT　FAN 1　ALARM,,
P1-T0E1,TOYOPUC-PCS FAN 2 FAULT,,
P1-T151,9-10 St. data transfer complete,,
P1-T161,4-5 St. data write delay,,
P1-T018,L6 COMMUNICATION RESET COUNT 3,,
P1-T1A0,ENDURANCE ON,,
P1-T067,UB PALLET PIN IN COMMAND DERLAY,,
P1-T04F,CAR TYPE FAULT CONF.(3.0S),,
P2-T1A3,STATION #4 CYC TIME DATA DELAY,,
P2-T015,1ST LIFTER DOWN END,,
P2-T138,6->7ST NO LUGE,,
P2-T1B9,STATION #10 CYC TIME DATA DELAY,,
P2-T093,9ST UPPER FRICTION FIXED POSITION,,
P2-T0CD,STA.4 CYCLE TIME CLOCK (TRANSFER TIME),,
P3-T026,MANUAL ACTION SW31- CYCLE TIME MEASUREMENT,,
P3-T0A6,R/B-7 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T080,WAIT SN-I/F OK,,
P3-T07B,CYCLE TIME MEASUREMENT R/B-28,,
P3-T06B,CYCLE TIME MEASUREMENT R/B-12,,
P3-T0F0,R/B-17 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T152,4 SECONDS CLOCK,,
P3-T0E3,R/B-4 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T077,CYCLE TIME MEASUREMENT R/B-24,,
P3-T04F,MANUAL ACTION SW64- CYCLE TIME MEASUREMENT,,
P3-T0B3,R/B-20 FIXED QUANTITY EXCHANGE COUNTER,,
P1-T066,SOL HOLD PLUS DELAYIN PALLET,,
P1-T150,9-10 St. Data write delay,,
P1-T0F0,TIP EXCHANGE START DELAY,,
P1-T070,PCS FAN 1 ALRAM,,
P1-T10F,AUTO RUNNING COMMAND OFF TIMER,,
P1-T1FF,CYCLE TIME COUNTING,,
P1-T0D4,REC FAULT,,
P2-T024,2ST LOWER FRICITON LOW SPEED POSITION,,
P2-T014,1ST LIFTER UP END,,
P2-T0C9,STA.2 CYCLE TIME (TRANSFER TIME),,
P2-T1B8,STATION #9 CYC TIME DATA DELAY,,
P2-T092,9ST UPPER FRICTION LOW SPEED POSITION,,
P2-T084,8ST LOWER FRICTION LOW SPEED POSITION,,
P2-T053,5ST UPPER FRICTION FIXED POSITION,,
P2-T1A0,STATION #1 CYC TIME CLOCK,,
P3-T003,MANUAL ACTION SW4- CYCLE TIME MEASUREMENT,,
P3-T029,MANUAL ACTION SW34- CYCLE TIME MEASUREMENT,,
P3-T0A7,R/B-8 FIXED QUANTITY EXCHANGE COUNTER,,
P3-T07C,CYCLE TIME MEASUREMENT R/B-29,,
P3-T0EA,R/B-11 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T074,CYCLE TIME MEASUREMENT R/B-21,,
P3-T0F3,R/B-20 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T087,COMMUNICATION NORMAL MEMORY,,
P3-T04E,MANUAL ACTION SW63- CYCLE TIME MEASUREMENT,,
P3-T0B2,R/B-19 FIXED QUANTITY EXCHANGE COUNTER,,
P1-T120,LUGE CAR TYPE COLLATION CONDITION,,
P1-T030,LUGE LOCK OUT END DELAY,,
P1-T071,PCS FAN 2 ALRAM,,
P1-T157,6-7 St. data write delay,,
P1-T089,STOP TRANSFER BOUNCE TIMER,,
P2-T1A1,STATION #2 CYC TIME CLOCK,,
P2-T013,1ST FRICTION FIXED POSITION,,
P2-T0CF,STA. 5 CYCLE TIME CLOCK (TRANSFER TIME),,
P2-T025,2ST LOWER FRICITON FIXED POSITION,,
P2-T148,8->9ST NO LUGE,,
P2-T0C8,STA.2 CYCLE TIME (MACHINE TIME),,
P2-T1B7,STATION #8 CYC TIME DATA DELAY,,
P2-T091,9ST LUGE LOCK IN END,,
