P2-K108,CONNECTION 9 OPEN NORMAL,,Y033
P2-K010,STOP POS.1 AGV PRESENCE MEMORY,,Y018
P2-K1DA,CONNECTION 27 RECEPTION DEMAND,,
P2-K1E0,32PORT AREA USE,,
P2-K063,STOP POS.20ÅÀ MOVEMENT MEMORY,,Y25C
P2-K04B,STOP POS.28 AGV PRESENCE MEMORY(DESTINATION SELECT),,Y01F
P2-K05B,STOP POS.12ÅÀ MOVEMENT MEMORY,,X001
P3-K011,MANUAL,,
P1-K179,AGV BACK UP MODE REQUEST MEMORY <UNLOAD>,,
P1-K2FF,Test on off switch,,
P2-K1A6,CONNECTION 7 TRANSMISSION DEMAND,,
P2-K1D7,CONNECTION 24 RECEPTION DEMAND,,
P2-K048,STOP POS.25 AGV PRESENCE MEMORY(DESTINATION SELECT),,X234
P2-K179,CONNECTION 26 RECEPTION COMPLETED,,
P2-K112,CONNECTION 19 OPEN NORMAL,,X22F
P2-K188,STOP POS.1-1DESTINATION INSTRUCTIONS DEMAND,,
P2-K1AA,CONNECTION 11 TRANSMISSION DEMAND,,
P2-K011,STOP POS.2 AGV PRESENCE MEMORY,,X008
P2-K153,CONNECTION 20 TRANSMISSION COMPLETED,,
P2-K1DB,CONNECTION 28 RECEPTION DEMAND,,
P2-K021,STOP POS.18 AGV PRESENCE MEMORY,,Y030
P2-K05C,STOP POS.13ÅÀ MOVEMENT MEMORY,,X222
P2-K062,STOP POS.19ÅÀ MOVEMENT MEMORY,,X208
P3-K010,AUTO,,
P2-K1A5,CONNECTION 6 TRANSMISSION DEMAND,,
P2-K11F,CONNECTION 32 OPEN NORMAL,,Y21E
P2-K178,CONNECTION 25 RECEPTION COMPLETED,,
P2-K189,STOP POS.2-2 ENTER APPLICATION(PRESENCE),,
P2-K144,CONNECTION 5 TRANSMISSION COMPLETED,,Y037
P2-K111,CONNECTION 18 OPEN NORMAL,,X22B
P2-K02C,STOP POS.29 AGV PRESENCE MEMORY,,
P2-K1DC,CONNECTION 29 RECEPTION DEMAND,,
P2-K01A,STOP POS.11 AGV PRESENCE MEMORY,,
P2-K1CA,CONNECTION 11 RECEPTION DEMAND,,
P2-K152,CONNECTION 19 TRANSMISSION COMPLETED,,
P2-K1D0,CONNECTION 17 RECEPTION DEMAND,,
P2-K020,STOP POS.17 AGV PRESENCE MEMORY,,X229
P2-K162,CONNECTION 3 RECEPTION COMPLETED,,
P2-K061,STOP POS.18ÅÀ MOVEMENT MEMORY,,X227
P3-K013,FIXED QUANTITY EXCHANGE,,
P2-K1A4,CONNECTION 5 TRANSMISSION DEMAND,,
P2-K027,STOP POS.24 AGV PRESENCE MEMORY,,X20A
P2-K11E,CONNECTION 31 OPEN NORMAL,,
P2-K058,STOP POS.9ÅÀ MOVEMENT MEMORY,,X238
P2-K145,CONNECTION 6 TRANSMISSION COMPLETED,,
P2-K15F,CONNECTION 32 TRANSMISSION COMPLETED,,
P2-K1C1,CONNECTION 2 RECEPTION DEMAND,,
P2-K110,CONNECTION 17 OPEN NORMAL,,X02C
P2-K1D1,CONNECTION 18 RECEPTION DEMAND,,
P2-K02B,STOP POS.28 AGV PRESENCE MEMORY,,X20C
P2-K163,CONNECTION 4 RECEPTION COMPLETED,,
P2-K151,CONNECTION 18 TRANSMISSION COMPLETED,,
P2-K16B,CONNECTION 12 RECEPTION COMPLETED,,
P2-K05A,STOP POS.11ÅÀ MOVEMENT MEMORY,,Y031
P2-K060,STOP POS.17ÅÀ MOVEMENT MEMORY,,
P3-K012,PERIODIC EXCHNAGE,,
P2-K117,CONNECTION 24 OPEN NORMAL,,X221
P2-K1AF,CONNECTION 16 TRANSMISSION DEMAND,,
P2-K059,STOP POS.10ÅÀ MOVEMENT MEMORY,,Y219
P2-K026,STOP POS.23 AGV PRESENCE MEMORY,,Y244
P2-K146,CONNECTION 7 TRANSMISSION COMPLETED,,Y214
P2-K11D,CONNECTION 30 OPEN NORMAL,,Y21A
P2-K1CC,CONNECTION 13 RECEPTION DEMAND,,
P2-K15E,CONNECTION 31 TRANSMISSION COMPLETED,,
P2-K1D2,CONNECTION 19 RECEPTION DEMAND,,
P2-K05F,STOP POS.16ÅÀ MOVEMENT MEMORY,,X00D
P2-K1C0,CONNECTION 1 RECEPTION DEMAND,,
P2-K02A,STOP POS.27 AGV PRESENCE MEMORY,,X235
P2-K16C,CONNECTION 13 RECEPTION COMPLETED,,
P2-K030,STOP POS.1 AGV PRESENCE MEMORY(DESTINATION SELECT),,Y039
P2-K150,CONNECTION 17 TRANSMISSION COMPLETED,,
P2-K160,CONNECTION 1 RECEPTION COMPLETED,,
P2-K1B8,CONNECTION 25 TRANSMISSION DEMAND,,
P2-K116,CONNECTION 23 OPEN NORMAL,,Y011
P2-K1AE,CONNECTION 15 TRANSMISSION DEMAND,,
P2-K147,CONNECTION 8 TRANSMISSION COMPLETED,,X226
P2-K025,STOP POS.22 AGV PRESENCE MEMORY,,Y03E
P2-K1C3,CONNECTION 4 RECEPTION DEMAND,,
P2-K1D3,CONNECTION 20 RECEPTION DEMAND,,
P2-K10A,CONNECTION 11 OPEN NORMAL,,Y24E
P2-K100,CONNECTION 1 OPEN NORMAL,,Y01D
P2-K045,STOP POS.22 AGV PRESENCE MEMORY(DESTINATION SELECT),,X02D
P2-K1CB,CONNECTION 12 RECEPTION DEMAND,,
P2-K15D,CONNECTION 30 TRANSMISSION COMPLETED,,
P2-K17E,CONNECTION 31 RECEPTION COMPLETED,,
P2-K031,STOP POS.2 AGV PRESENCE MEMORY(DESTINATION SELECT),,X239
P2-K161,CONNECTION 2 RECEPTION COMPLETED,,
P2-K19E,CONNECTION ACTIVE OPEN DEMAND,,
P2-K070,FROM NEXT PROCESS ENTERING COMPLETED,,Y25F
P2-K1B9,CONNECTION 26 TRANSMISSION DEMAND,,
P2-K115,CONNECTION 22 OPEN NORMAL,,X231
P2-K1AD,CONNECTION 14 TRANSMISSION DEMAND,,
P2-K1CE,CONNECTION 15 RECEPTION DEMAND,,
P2-K10B,CONNECTION 12 OPEN NORMAL,,X236
P2-K101,CONNECTION 2 OPEN NORMAL,,Y257
P2-K024,STOP POS.21 AGV PRESENCE MEMORY,,Y243
P2-K166,CONNECTION 7 RECEPTION COMPLETED,,
P2-K1C2,CONNECTION 3 RECEPTION DEMAND,,
P2-K044,STOP POS.21 AGV PRESENCE MEMORY(DESTINATION SELECT),,Y240
P2-K175,CONNECTION 22 RECEPTION COMPLETED,,
P2-K032,STOP POS.3 AGV PRESENCE MEMORY(DESTINATION SELECT),,Y218
P2-K15C,CONNECTION 29 TRANSMISSION COMPLETED,,
P2-K05D,STOP POS.14ÅÀ MOVEMENT MEMORY,,Y013
P2-K17D,CONNECTION 30 RECEPTION COMPLETED,,
P2-K140,CONNECTION 1 TRANSMISSION COMPLETED,,Y03C
P2-K16A,CONNECTION 11 RECEPTION COMPLETED,,
P2-K1A9,CONNECTION 10 TRANSMISSION DEMAND,,
P2-K072,Short Reset Condition for EDC,,
P2-K1A8,CONNECTION 9 TRANSMISSION DEMAND,,
P2-K1C5,CONNECTION 6 RECEPTION DEMAND,,
P2-K114,CONNECTION 21 OPEN NORMAL,,X230
P2-K10C,CONNECTION 13 OPEN NORMAL,,X005
P2-K102,CONNECTION 3 OPEN NORMAL,,Y03D
P2-K047,STOP POS.24 AGV PRESENCE MEMORY(DESTINATION SELECT),,Y03F
P2-K02F,STOP POS.32 AGV PRESENCE MEMORY,,Y038
P2-K167,CONNECTION 8 RECEPTION COMPLETED,,
P2-K1CD,CONNECTION 14 RECEPTION DEMAND,,
P2-K16F,CONNECTION 16 RECEPTION COMPLETED,,
P2-K033,STOP POS.4 AGV PRESENCE MEMORY(DESTINATION SELECT),,Y25B
P2-K05E,STOP POS.15ÅÀ MOVEMENT MEMORY,,X223
P2-K174,CONNECTION 21 RECEPTION COMPLETED,,
P2-K141,CONNECTION 2 TRANSMISSION COMPLETED,,X220
P2-K15B,CONNECTION 28 TRANSMISSION COMPLETED,,
P2-K18A,STOP POS.2-3 ENTER APPLICATION(PRESENCE),,
P1-K031,PARTS SET COMPLETED,,
P2-K018,STOP POS.9 AGV PRESENCE MEMORY,,X23F
P2-K1B6,CONNECTION 23 TRANSMISSION DEMAND,,
P2-K10D,CONNECTION 14 OPEN NORMAL,,Y215
P2-K103,CONNECTION 4 OPEN NORMAL,,X23C
P2-K1C4,CONNECTION 5 RECEPTION DEMAND,,
P2-K02E,STOP POS.31 AGV PRESENCE MEMORY,,
P2-K046,STOP POS.23 AGV PRESENCE MEMORY(DESTINATION SELECT),,X233
P2-K177,CONNECTION 24 RECEPTION COMPLETED,,
P2-K034,STOP POS.5 AGV PRESENCE MEMORY(DESTINATION SELECT),,Y24C
P2-K164,CONNECTION 5 RECEPTION COMPLETED,,
P2-K17F,CONNECTION 32 RECEPTION COMPLETED,,
P2-K142,CONNECTION 3 TRANSMISSION COMPLETED,,X000
P2-K15A,CONNECTION 27 TRANSMISSION COMPLETED,,
P2-K18B,STOP POS.2-4 ENTER APPLICATION(PRESENCE),,
P1-K030,PARTS PICK UP COMPLETED,,
P1-K171,AGV BACK UP MODE REQUEST MEMORY <LOAD>,,
P2-K019,STOP POS.10 AGV PRESENCE MEMORY,,Y213
P2-K1B7,CONNECTION 24 TRANSMISSION DEMAND,,
P2-K029,STOP POS.26 AGV PRESENCE MEMORY,,X20B
P2-K1C7,CONNECTION 8 RECEPTION DEMAND,,
P2-K1BF,CONNECTION 32 TRANSMISSION DEMAND,,
P2-K10E,CONNECTION 15 OPEN NORMAL,,X23A
P2-K104,CONNECTION 5 OPEN NORMAL,,Y255
P2-K1CF,CONNECTION 16 RECEPTION DEMAND,,
P2-K035,STOP POS.6 AGV PRESENCE MEMORY(DESTINATION SELECT),,Y034
P2-K02D,STOP POS.30 AGV PRESENCE MEMORY,,
P2-K165,CONNECTION 6 RECEPTION COMPLETED,,
P2-K176,CONNECTION 23 RECEPTION COMPLETED,,
P2-K14D,CONNECTION 14 TRANSMISSION COMPLETED,,X00E
P2-K143,CONNECTION 4 TRANSMISSION COMPLETED,,Y210
P2-K06F,STOP POS.32ÅÀ MOVEMENT MEMORY,,X20F
P2-K16D,CONNECTION 14 RECEPTION COMPLETED,,
P2-K041,STOP POS.18 AGV PRESENCE MEMORY(DESTINATION SELECT),,X228
P2-K18C,STOP POS.2-5 ENTER APPLICATION(PRESENCE),,
P2-K17A,CONNECTION 27 RECEPTION COMPLETED,,
P2-K119,CONNECTION 26 OPEN NORMAL,,Y248
P2-K10F,CONNECTION 16 OPEN NORMAL,,X23B
P2-K105,CONNECTION 6 OPEN NORMAL,,Y256
P2-K028,STOP POS.25 AGV PRESENCE MEMORY,,Y245
P2-K1C6,CONNECTION 7 RECEPTION DEMAND,,
P2-K1B4,CONNECTION 21 TRANSMISSION DEMAND,,
P2-K036,STOP POS.7 AGV PRESENCE MEMORY(DESTINATION SELECT),,X23D
P2-K14E,CONNECTION 15 TRANSMISSION COMPLETED,,
P2-K04E,STOP POS.31 AGV PRESENCE MEMORY(DESTINATION SELECT),,Y217
P2-K16E,CONNECTION 15 RECEPTION COMPLETED,,
P2-K06E,STOP POS.31ÅÀ MOVEMENT MEMORY,,Y01E
P2-K052,STOP POS.3ÅÀ MOVEMENT MEMORY,,X22C
P2-K03A,STOP POS.11 AGV PRESENCE MEMORY(DESTINATION SELECT),,X22E
P2-K18D,STOP POS.2-6 ENTER APPLICATION(PRESENCE),,
P2-K040,STOP POS.17 AGV PRESENCE MEMORY(DESTINATION SELECT),,X006
P2-K171,CONNECTION 18 RECEPTION COMPLETED,,
P2-K181,STOP POS.2-1ÅÀ2-2 MOVEMENT MEMORY,,
P2-K118,CONNECTION 25 OPEN NORMAL,,X225
P2-K106,CONNECTION 7 OPEN NORMAL,,Y241
P2-K1D8,CONNECTION 25 RECEPTION DEMAND,,
P2-K1B5,CONNECTION 22 TRANSMISSION DEMAND,,
P2-K016,STOP POS.7 AGV PRESENCE MEMORY,,Y24F
P2-K037,STOP POS.8 AGV PRESENCE MEMORY(DESTINATION SELECT),,X200
P2-K069,STOP POS.26ÅÀ MOVEMENT MEMORY,,
P2-K1BD,CONNECTION 30 TRANSMISSION DEMAND,,
P2-K14F,CONNECTION 16 TRANSMISSION COMPLETED,,
P2-K04D,STOP POS.30 AGV PRESENCE MEMORY(DESTINATION SELECT),,Y249
P2-K043,STOP POS.20 AGV PRESENCE MEMORY(DESTINATION SELECT),,Y251
P2-K053,STOP POS.4ÅÀ MOVEMENT MEMORY,,Y035
P2-K03B,STOP POS.12 AGV PRESENCE MEMORY(DESTINATION SELECT),,X202
P2-K06D,STOP POS.30ÅÀ MOVEMENT MEMORY,,X002
P2-K17C,CONNECTION 29 RECEPTION COMPLETED,,
P2-K182,STOP POS.2-2ÅÀ2-3 MOVEMENT MEMORY,,
P2-K170,CONNECTION 17 RECEPTION COMPLETED,,
P2-K1C9,CONNECTION 10 RECEPTION DEMAND,,
P2-K107,CONNECTION 8 OPEN NORMAL,,Y242
P2-K1D9,CONNECTION 26 RECEPTION DEMAND,,
P2-K017,STOP POS.8 AGV PRESENCE MEMORY,,Y212
P2-K159,CONNECTION 26 TRANSMISSION COMPLETED,,
P2-K038,STOP POS.9 AGV PRESENCE MEMORY(DESTINATION SELECT),,X23E
P2-K1BE,CONNECTION 31 TRANSMISSION DEMAND,,
P2-K01F,STOP POS.16 AGV PRESENCE MEMORY,,X007
P2-K168,CONNECTION 9 RECEPTION COMPLETED,,
P2-K1B2,CONNECTION 19 TRANSMISSION DEMAND,,
P2-K13E,CONNECTION 31FAULT,,X237
P2-K068,STOP POS.25ÅÀ MOVEMENT MEMORY,,X003
P2-K1DD,CONNECTION 30 RECEPTION DEMAND,,
P2-K03C,STOP POS.13 AGV PRESENCE MEMORY(DESTINATION SELECT),,Y015
P2-K042,STOP POS.19 AGV PRESENCE MEMORY(DESTINATION SELECT),,X207
P2-K173,CONNECTION 20 RECEPTION COMPLETED,,
P2-K183,STOP POS.2-3ÅÀ2-4 MOVEMENT MEMORY,,
P2-K06C,STOP POS.29ÅÀ MOVEMENT MEMORY,,Y01C
P2-K17B,CONNECTION 28 RECEPTION COMPLETED,,
P2-K050,STOP POS.1Å MOVEMENT MEMORY,,Y03B
P1-K059,CART UNLOAD COMPLETED<AGV BACK UP MODE>,,
P1-K0F0,CYC_ST MEMORY,,
P1-K136,JIG COMPLETED,,
P2-V080,PRG.2-LINK1              Communication reset,,
P2-V004,NORMALLY ON,,
P3-V0AD,P3:L4 ﬂ◊“∞¿àŸèÌ,,
P2-V072,1.0s CLOCK,,
P2-V005,NORMALLY OFF,,
P3-V0AE,P3-L4 COMMUNICATION ALARM,,
P3-V0B2,P3-L5 COMMUNICATION ALARM,,
P2-V0AA,P2-L3 COMMUNICATION ALARM,,
P3-V0A1,P3:L1 ﬂ◊“∞¿àŸèÌ,,
P3-V0B1,P3:L5 PARAMETER ERROR,,
P1-V027,CPU RUN,,
P2-V0BE,P2-L8 COMMUNICATION ALARM,,
P2-V084,P2:L5 COMMUNICATION RESET,,
P3-V027,ON (RUNNING),,
P3-V005,NORMALLY OFF,,
P1-V080,P1:L1 COMMUNICATION RESET,,EY20D
P3-V004,NORMALLY ON,,
P3-V0AA,P3-L3 COMMUNICATION ALARM,,
P3-V0B6,P3-L6 COMMUNICATION ALARM,,
P2-V0B6,P2-L6 COMMUNICATION ALARM,,
P3-V0B5,P3:L6 PARAMETER ERROR,,
P3-V0BA,P3-L7 COMMUNICATION ALARM,,
P3-V006,ONLY 1SCAN ON AFTER POWER ON,,
P2-V0BA,P2-L7 COMMUNICATION ALARM,,
P3-V055,BORROW,,
P1-V006,1st SCAN,,EY238
P2-V0B2,P2-L5 COMMUNICATION ALARM,,
P3-V072,ONE SECOND CLOCK,,P1_RUN_05
P1-V005,NORMALLY OFF,,EY117
P1-V072,1.0s CLOCK,,EY105
P2-V0A6,P2-L2 COMMUNICATION ALARM ,,
P3-V0BE,P3-L8 COMMUNICATION ALARM,,
P3-V073,TWO SECOND CLOCK,,
P3-V0A9,P3:L3 ﬂ◊“∞¿àŸèÌ,,
P3-V0B9,P3:L7 PARAMETER ERROR,,
P1-V004,NORMALLY ON,,EY180
P3-V0BD,P3:L8 PARAMETER ERROR,,
P3-V0A6,P3-L2 COMMUNICATION ALARM,,
P1-V071,0.2s CLOCK,,
P2-V056,CARRY FLAG,,
P3-V090,LINK 1 USE OK,,TR1010
P1-V087,P1:L8 COMMUNICATION RESET,,
P2-V0A2,P2-L1 COMMUNICATION ALARM,,
P2-V090,LINK1 USEOK,,
P2-V006,FIRST SCAN,,
P2-V0AE,P2-L4 COMMUNICATION ALARM,,
P3-V0A5,P3:L2 ﬂ◊“∞¿àŸèÌ,,P1_RUN_21
P2-V083,P2:L4 COMMUNICATION RESET,,
P3-V0A2,P3-L1 COMMUNICATION ALARM,,
P2-T1FC,EDC Quality/Health Tools Batch 1 Interval Time,,
P2-T187,CONNECTION 8 TRANSMISSION DEMAND RESET,,
P2-T04E,CHG7 CHARGE CYCLE FAULT,,
P2-T0BB,STOP POS.28 MEMORY AGV RUNNING,,
P2-T0CB,STOP POS.12 CYCLE TIME COUNT,,
P2-T0ED,CONNECTION 14RECEPTION RETRY TIMER,,
P2-T0F4,CONNECTION 21RECEPTION RETRY TIMER,,
P2-T0D1,STOP POS.18 CYCLE TIME COUNT,,
P2-T18F,CONNECTION 16 TRANSMISSION DEMAND RESET,,
P2-T03A,PROCESS I/L-11 AGV DOCKING FAULT,,
P2-T040,CHG1 BATTERY CHARGER FAULT,,
P2-T194,CHG8 CHARGER COMPLETION,,
P2-T081,SP2->AGV RUNNING,,
P2-T08B,SP12->AGV RUNNING,,
P2-T118,STOP POS.25 ENTERING OK DELAY(DESTINATION INSTRUCTIONS STARTOK),,
P2-T029,STOP POS.26 ENTERING OK DELAY(NORMAL STARTOK),,
P2-T0A7,STOP POS.8 MEMORY AGV RUNNING,,
P2-T1A5,STOP POS.6ÅEMOVEMENT MEMORY RESET,,
P2-T0AF,STOP POS.16 MEMORY AGV RUNNING,,
P2-T11E,STOP POS.31 ENTERING OK DELAY(DESTINATION INSTRUCTIONS STARTOK),,
P2-T0C5,STOP POS.6 CYCLE TIME COUNT,,
P2-T1B3,STOP POS.20ÅEMOVEMENT MEMORY RESET,,
P3-T0BC,R/B-29 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T13C,CONFIRMATION END OF CYCLE R/B29,,
P3-T120,CONFIRMATION END OF CYCLE R/B1,,
P3-T054,MANUAL ACTION SW45- CYCLE TIME MEASUREMENT,,
P3-T02A,MANUAL ACTION SW11- CYCLE TIME MEASUREMENT,,
P3-T08F,PM2 WORK PERMISSION BUZZER TIMER,,
P3-T04A,MANUAL ACTION SW35- CYCLE TIME MEASUREMENT,,
P3-T093,DELAY ALARM DETECTION,,
P3-T007,MANUAL ACTION SW8- CYCLE TIME MEASUREMENT,,
P3-T0B6,R/B-23 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T0E8,R/B-9 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T036,MANUAL ACTION SW23- CYCLE TIME MEASUREMENT,,
P1-T001,AGV WIFI COMM. FAULT DELAY,,
P1-T069,AGV Backup Request Cancel Timer,,
P1-T0A4,SET TABLE PARTS SET FAULT DETECT CONDITION,,EY274
P1-T102,OPERATION COMP. RESET DELAY(PROCESS INDIVIDUAL ENDURANCE),,EY170
P1-T178,CHATTER PREVENTION <UNLOAD>,,
P2-T04F,CHG8 CHARGE CYCLE FAULT,,
P2-T0BC,STOP POS.29 MEMORY AGV RUNNING,,
P2-T1AA,STOP POS.11ÅEMOVEMENT MEMORY RESET,,
P2-T0F5,CONNECTION 22RECEPTION RETRY TIMER,,
P2-T000,90 sec fault for AGV not arriving to next process,,
P2-T0D2,STOP POS.19 CYCLE TIME COUNT,,
P2-T186,CONNECTION 7 TRANSMISSION DEMAND RESET,,
P2-T1CA,CONNECTION 11 TRANSMISSION DEMAND RESET,,
P2-T14B,CHG3 CHARGER CONTACT ON COMP.,,
P2-T15B,CHG4 CHARGER CONTACT ON COMP.,,
P2-T195,CONNECTION 22 TRANSMISSION DEMAND RESET,,
P2-T041,CHG2 BATTERY CHARGER FAULT,,
P2-T19D,CONNECTION 30 TRANSMISSION DEMAND RESET,,
P2-T170,CHG6 AGV CONTACT NORMAL DELAY,,
P2-T082,SP3->AGV RUNNING,,
P2-T08C,SP13->AGV RUNNING,,
P2-T18A,CONNECTION 11 TRANSMISSION DEMAND RESET,,
P2-T119,STOP POS.26 ENTERING OK DELAY(DESTINATION INSTRUCTIONS STARTOK),,
P2-T0A6,STOP POS.7 MEMORY AGV RUNNING,,
P2-T00E,ROBOT START OFF RELEASE DELAY(LINE CONDITION),,
P2-T0AE,STOP POS.15 MEMORY AGV RUNNING,,
P2-T1C4,CONNECTION 5 TRANSMISSION DEMAND RESET,,
P2-T0C4,STOP POS.5 CYCLE TIME COUNT,,
P2-T035,PROCESS I/L-6 AGV DOCKING FAULT,,
P2-T1B2,STOP POS.19 MOVEMENT MEMORY RESET,,
P3-T078,CYCLE TIME MEASUREMENT R/B-25,,
P3-T121,CONFIRMATION END OF CYCLE R/B2,,
P3-T0BB,R/B-28 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T055,MANUAL ACTION SW46- CYCLE TIME MEASUREMENT,,
P3-T13B,CONFIRMATION END OF CYCLE R/B28,,
P3-T010,MANUAL ACTION SW17- CYCLE TIME MEASUREMENT,,
P3-T08E,PM1 WORK PERMISSION BUZZER TIMER,,
P3-T07D,CYCLE TIME MEASUREMENT R/B-30,,
P3-T094,WAIT PCS-I/F OK,,
P3-T0B9,R/B-26 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING OFF),,
P3-T006,MANUAL ACTION SW7- CYCLE TIME MEASUREMENT,,
P3-T0E9,R/B-10 FIXED QUANTITY EXCHANGE COUNTER(TIP FORMING ON),,
P3-T049,MANUAL ACTION SW34- CYCLE TIME MEASUREMENT,,
P3-T037,MANUAL ACTION SW24- CYCLE TIME MEASUREMENT,,
P1-T045,FRICTION PRESENT CONF. DELAY,,
P1-T0A5,LUGE PARTS SET FAULT DETECT CONDITION,,
P1-T103,OPERATION COMP. RESET OFF DELAY(PROCESS INDIVIDUAL ENDURANCE),,
P2-T034,PROCESS I/L-5 AGV DOCKING FAULT,,
P2-T1B1,STOP POS.18ÅEMOVEMENT MEMORY RESET,,
P2-T0D3,STOP POS.20 CYCLE TIME COUNT,,
P2-T1CB,CONNECTION 12 TRANSMISSION DEMAND RESET,,
P2-T154,CHG4 CHARGER COMPLETION,,
P2-T03C,PROCESS I/L-13 AGV DOCKING FAULT,,
P2-T130,CHG2 AGV CONTACT NORMAL DELAY,,
